"Abd-Alhamid, Fedaa"
"Roberts, Jonathan C."
"ROBINETT, W"
"Roessler, Andreas"
"Roettl, Johanna"
"Rojo, Diego"
"Romero, G"
"Ronchi, Enrico"
"Ronkko, J"
"Roquet, Paul"
"Rosa, Pedro J."
"Rose, Vienna"
"Rosen, Eric"
"Rossi, Henrique"
"Roth, Thorsten"
"RU, JR"
"Rubio Tamayo, Jose Luis"
"Ruddle, RA"
"Ruddle, Roy"
"Rueger, Christoph"
"Rupp, Michael A."
"Ryu, J"
"Ryu, Jaeyeol"
"Sagardia, Mikel"
"Sakhare, Ashwin R."
"Saldana, Santiago J."
"Salomoni, Paola"
"Sanchez-Herrera-Baeza, P"
"Sankaranarayanan, Ganesh"
"Sarig-Bahat, H"
"Sarlat, L"
"Sasaki, Takashi"
"Sasinka, Cenek"
"Satava, RM"
"Sauer, Igor M."
"Sayed, Ahmed M."
"Schatzschneider, Christian"
"Schmohl, S"
"Schnack, Alexander"
"Schneider, Daniel"
"Schneider, E"
"Schneider, SM"
"Schneider, Susan M."
"Schoeffler, M"
"Schultheis, MT"
"Segura, Álvaro"
"Segura, Alvaro"
"Seibert, Jonmichael"
"Semeraro, F"
"Seo, Min-Woo"
"Seo, Seung-hun"
"Serafin, Stefania"
"Seward, AE"
"Shafer, Daniel M."
"Sharples, S"
"Shattuck, David W."
"SHAW, C"
"Shen, Chien-wen"
"Shen, Jie(Doreen)"
"Shen, Y"
"Shen, Yiran"
"Shimokawa, Kazuma"
"Shin, Jongkyu"
"Shu, Yu"
"Sidanin, Predrag"
"Siess, Andreas"
"Silva, Gustavo R."
"Silva, Igor Macedo"
"Simon, Sofia C."
"Simone, Lisa K."
"Simone, LK"
"Simpson, G"
"Simpson, Gordon"
"Skavern, Hege"
"Slater, Mel"
"Smith, Ashley"
"Smolyanskiy, Nikolai"
"So, RHY"
"Sohn, Bong-Soo"
"Soltan, Ahmed"
"Somrak, Andrej"
"Soomro, Shoaib R."
"Sousa Santos, B"
"Spanlang, Bernhard"
"Spitzley, Kate A."
"Spjut, Josef"
"Sportillo, Daniele"
"Srivastava, Priyanka"
"Stanney, Kay"
"Starr, Christine R."
"Starrett, Michael J."
"Steed, Anthony"
"Stein, C"
"Steinicke, F"
"Stengel, Michael"
"Stepan, Katelyn"
"Stone, RJ"
"Stupar-Rutenfrans, Snežana"
"Stupar-Rutenfrans, Snezana"
"Subramanian, SK"
"Suencksen, Matthias"
